movie_genre,book_name,author
children,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids
children,Baby Touch and Feel: Animals,DK
children,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.
children,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney
children,Dear Zoo: A Lift-the-Flap Book,Rod Campbell
children,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney
children,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney
children,Diary of a Wimpy Kid: The Long Haul,Jeff Kinney
children,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine
children,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney
children,Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey
children,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),Dav Pilkey
children,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey
children,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey
children,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey
children,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey
children,Double Down (Diary of a Wimpy Kid #11),Jeff Kinney
children,Giraffes Can't Dance,Giles Andreae
children,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker
children,Knock-Knock Jokes for Kids,Rob Elliott
children,Laugh-Out-Loud Jokes for Kids,Rob Elliott
children,Love You Forever,Robert Munsch
children,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer
children,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields
children,"Oh, the Places You'll Go!",Dr. Seuss
children,Old School (Diary of a Wimpy Kid #10),Jeff Kinney
children,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg
children,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan
children,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Readingâ€¦",School Zone
children,The Going-To-Bed Book,Sandra Boynton
children,The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz
children,The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney
children,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney
children,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney
children,The Wonderful Things You Will Be,Emily Winfield Martin
children,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK
children,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear
children,What Pet Should I Get? (Classic Seuss),Dr. Seuss
children,Where the Wild Things Are,Maurice Sendak
children,Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney
